Topic,DetailedWords
1,"문제, 교통, 생각, 도시, 이동"
2,"훈련, 러시아, 해군, 이집트, 합동"
3,"피부, 전단, 월세, 대북, 카드"
4,"디자인, 뉴스, 지역, 대표, 진흥"
5,"대표, 검찰, 언론, 이재명, 국민"
6,"백신, 요트, 중국, 코로나, 당국자"
7,"증권, 주가, 지난, 상승, 금리"
8,"산업, 탄소, 공급, 경기도, 하수"
9,"민주, 오픈, 월경, 예선, 감정"
10,"폭염, 콘텐츠, 이미지, 사람, 은행"
11,"강원, 경기, 춘천, 수원, 티켓"
12,"인도, 현대차, 법인, 최대, 조달"
13,"의협, 회장, 정부, 임현, 전공"
14,"주민, 혈관, 위험, 스님, 콜레스테롤"
15,"필리핀, 중국, 어민, 남중국해, 해역"
16,"우크라이나, 회의, 대통령, 러시아, 미국"
17,"이스라엘, 상품, 유지, 배송, 하마스"
18,"당첨, 번호, 당첨번호, 로또, 보너스"
19,"필리핀, 중국, 남중국해, 행사, 남녀"
20,"스타, 라이너, 냉방, 에어컨, 팬츠"
21,"중국, 계약, 공식, 기업, 스폰서"
22,"정부, 피해, 이통, 주파수, 엑스"
23,"지수, 거래, 가구, 증가, 서비스"
24,"대통령, 바이든, 트럼프, 생일, 미국"
25,"별세, 발인, 부친상, 장례식, 오전"
26,"쿠팡, 공정위, 상품, 직원, 리뷰"
27,"북한, 카프카, 아동, 장관, 백남순"
28,"멕시코, 우주, 발사, 어린이집, 시장"
29,"자수, 차량, 고속, 기술, 한국"
30,"갤럭시, 카메라, 모델, 남성, 화소"
31,"수박, 대사, 이사회, 의장, 제네바"
32,"코리아, 기내식, 비용, 천공, 국립공원"
33,"학교, 부산, 기온, 최고, 대구"
34,"미국, 프랑스, 포함, 사진, 마크"
35,"홍콩, 중국, 차량, 베이징, 기자"
36,"북한, 작업, 장벽, 도로, 젤라또"
37,"환자, 의사, 수술, 뇌졸중, 병원"
38,"대동맥, 헌혈, 단체, 미국, 주의"
39,"부인, 문화, 조수정, 아트, 지로"
40,"교육, 장관, 회의, 교육부, 협력"
41,"식물, 한국, 여성, 헬스장, 독도"
42,"달리기, 재야, 생화, 서울, 지역"
43,"애플, 오픈, 기능, 사용자, 기술"
44,"축구, 축구단, 송파구, 주행, 경기"
45,"카뮈, 알제리, 한국, 스탠리, 북한"
46,"생일, 찰스, 국왕, 분열, 왕세자빈"
47,"대회, 가천, 그림, 군산시, 호치"
48,"금융, 개발, 스타트업, 회장, 사업"
49,"사업, 기업, 개발, 뎅기열, 투자"
50,"창업, 경북, 여성, 폐지, 대회"
51,"투자, 화산, 와인, 금리, 엔화"
52,"건물, 랜드, 이프, 지진, 아파트"
53,"영화, 대통령, 대표, 마크, 대해"
54,"일본, 존스, 디스플레이, 미니, 기업"
55,"두드러기, 효소, 해양, 연구소, 크라이"
56,"참전용사, 승객, 행사, 교회, 미국"
57,"애플, 미국, 주가, 엔비디아, 증가"
58,"경찰, 주문, 신고, 피부, 오후"
59,"북한, 가구, 분양, 청약, 진행"
60,"카카오, 서비스, 드라마, 얼음, 공모"
61,"게임, 공개, 이용자, 업계, 산업"
62,"미국, 북한, 전략, 정상, 러시아"
63,"투자, 펀드, 선언, 위원회, 기업"
64,"치료, 증상, 감염, 경우, 발생"
65,"대통령, 방문, 우즈베키스탄, 미르, 윤석열"
66,"화물, 사업, 노조, 투쟁, 매장"
67,"기후, 유목민, 신화, 이야기, 역사"
68,"축제, 페스티벌, 체험, 행사, 강원"
69,"이스라엘, 헤즈볼라, 사업, 위해, 당시"
70,"배낭, 금리, 육우, 기준금리, 수익"
71,"사고, 발생, 교육, 맨발, 고속도로"
72,"선수, 출전, 벨라루스, 자격, 러시아"
73,"빙수, 교육, 분야, 도박, 지휘"
74,"서울, 조선, 바이오, 화재, 도성"
75,"음식, 회사, 한국, 인도, 직원"
76,"후티, 공격, 홍해, 반군, 상선"
77,"교수, 병원, 대위, 의대, 진료"
78,"교회, 겉절이, 재료, 공간, 양념"
79,"버스, 전단, 지난, 포토, 풍선"
80,"개미, 음식, 호박, 더듬이, 사회"
81,"푸드, 구호, 잔고, 음식, 드라마"
82,"의대, 환자, 학부모, 서울대, 중고차"
83,"클립, 크리에이터, 제육, 볶음, 네이버"
84,"미국, 소비, 대출, 경우, 생각"
85,"정부, 북한, 평화, 남북, 기후"
86,"의료, 집단, 지역, 북한, 의원"
87,"입찰, 예수님, 시드니, 예매, 이로"
88,"청년, 나무, 넥스트, 구성, 국민"
89,"텀블러, 단백질, 와인, 제품, 채드윅"
90,"공연, 러시아, 헌혈, 푸틴, 연주"
91,"아파트, 지역, 상승, 서울, 가격"
92,"전화, 교환, 내용, 판결, 녹음"
93,"지능, 인공, 빌라, 몰디브, 연구"
94,"러시아, 제재, 아이스크림, 상품, 판매"
95,"서비스, 승진, 정책, 과장, 청소"
96,"피부, 작가, 여행, 박수근, 열무"
97,"중공업, 대회, 미국, 러시아, 노선"
98,"테슬라, 사고, 차량, 충돌, 발생"
99,"기온, 오늘, 내일, 지역, 서울"
100,"한광, 북한, 이용, 성은, 영상"
