Topic,Words
1,"교회, 신앙, 하나님, 목사, 교사"
2,"내륙, 서울, 소나기, 남부, 기온"
3,"제품, 기술, 명상, 요가, 개발"
4,"아이폰, 레이저, 색상, 티타늄, 두바이"
5,"아파트, 발생, 정전, 부산, 오후"
6,"피자, 지역, 상품, 매장, 편의점"
7,"딸기, 축제, 공무원, 활동, 환경"
8,"대표, 의장, 정책, 의원, 국민"
9,"플라스틱, 미세, 필터, 유대인, 세탁기"
10,"기술, 위험, 활용, 사용, 영상"
11,"오렌지, 고용, 문자, 감소, 악성"
12,"중국, 장관, 베트남, 정보통신부, 건물"
13,"펜싱, 외질, 한국, 성교육, 트리플"
14,"대출, 은행, 금융, 신용, 가계"
15,"서비스, 제공, 결제, 관리, 고객"
16,"서비스, 카트라이더, 드리프트, 플랫폼, 디렉터"
17,"주가, 이익, 규제, 발표, 샌드박스"
18,"도메인, 악성, 경찰, 위해, 백씨"
19,"교회, 위해, 보훈, 방사선, 기술"
20,"언어, 이란, 대해, 중동, 정부"
21,"마운, 치료, 릴리, 미국, 허가"
22,"피해자, 주택, 피해, 지원, 실장"
23,"제로, 제품, 음료, 브랜드, 감미료"
24,"선수, 경기, 저작권, 자료, 일본"
25,"롯데, 경영, 취업, 그룹, 사업"
26,"수사, 심의, 경찰, 센터, 경기"
27,"지역, 강원랜드, 심사, 제공, 대표"
28,"기온, 더위, 열대야, 최고, 기록"
29,"서울시, 하림, 그룹, 사용, 주파수"
30,"대통령, 베네수엘라, 흑인, 대역, 게임"
31,"고객, 필리버스터, 혜택, 장기, 국민"
32,"금융, 피해, 간담, 행업, 관련"
33,"폭염, 전국, 피해, 질환, 특보"
34,"판매, 감소, 대비, 시장, 생산"
35,"태국, 장관, 서울, 정부, 한덕수"
36,"수수료, 배달, 요기, 기요, 금제"
37,"파월, 의장, 인하, 데이터, 금리"
38,"네이버, 교육, 협회, 한국, 스튜디오"
39,"올림픽, 경기, 선수, 파리, 출전"
40,"밴스, 미국, 한국, 노래, 교회"
41,"계란, 서울, 기자, 압수수색, 압수"
42,"할인, 고객, 혜택, 제공, 프로모션"
43,"투자, 증권, 반도체, 기술, 플랫폼"
44,"서울, 지역, 일자리, 선정, 시민"
45,"하마스, 이프, 원전, 미국, 해체"
46,"로컬, 문화, 장관, 재판매, 체육관"
47,"소설, 송기원, 촬영, 명상, 대표"
48,"세트, 껍질, 선물, 저항, 사용"
49,"북한, 지원, 피해, 수해, 정부"
50,"중진국, 한국, 세계, 투자, 성장"
51,"금리, 인하, 상승, 기준금리, 이후"
52,"쯔양, 대표, 시스템, 대해, 공연"
53,"병원, 전공, 모집, 지원, 수련"
54,"탄핵, 위원장, 방통위, 국회, 야당"
55,"고객, 기억, 할인, 구매, 혜택"
56,"판매, 기아, 국내, 해외, 대비"
57,"게임, 텐센트, 에어부산, 라운지, 미국"
58,"검사, 와인, 검찰, 식용, 관련"
59,"플립, 경찰, 갤럭시, 미국, 기업"
60,"호남, 사업, 미디어, 메조, 무궁화"
61,"호주, 협력, 군사, 한국, 국방"
62,"노조, 파업, 교섭, 투쟁, 삼성"
63,"골프, 배터리, 파리, 무봉, 스타일"
64,"차량, 수소, 주차, 철도, 한국"
65,"한국, 법원, 권씨, 인도, 미국"
66,"티몬, 위메프, 판매, 대표, 정산"
67,"러시아, 의대, 교육, 게르, 환경"
68,"공인, 문제, 사례, 슈퍼, 연구원"
69,"사업, 기업, 브랜드, 언스, 지니"
70,"건설, 환경부, 사업, 대해, 후보자"
71,"정보, 혐의, 항문, 북한, 수집"
72,"매장, 커피, 백화점, 해외, 미국"
73,"부통령, 해리스, 후보, 철도, 고용"
74,"금감원, 제도, 개선, 사태, 검사"
75,"사업, 한국, 지원, 한미, 연습"
76,"지원, 정부, 북한, 피해, 협의"
77,"발행, 홍천, 한국, 달러, 투자"
78,"빙수, 상품, 망고, 판매, 호텔"
79,"실업, 청구, 수당, 관광, 계속"
80,"전시, 감자, 내용, 강제, 메타"
81,"피해, 체불액, 체불, 임금, 상반기"
82,"이사, 병원, 교수, 정부, 언론"
83,"이사, 방송, 선임, 임명, 방문진"
84,"원룸, 오후, 호텔, 원주시, 강원"
85,"경찰, 카이, 인도, 사용, 회장"
86,"이스라엘, 이란, 하마스, 하니, 공격"
87,"환자, 회의, 산사태, 이용, 발생"
88,"바람, 직업, 젬마, 사이버, 학생인권"
89,"사업, 정책, 투자, 관련, 국가"
90,"사장, 공사, 이사장, 국민, 미디어"
91,"위원장, 대통령, 수여, 임명장, 대통령실"
92,"넥슨, 닭알, 네트웍, 채용, 에어프랑스"
93,"의료, 지역, 위원회, 체계, 개혁"
94,"이동, 번호, 자영, 출시, 우크라이나"
95,"허가, 인도, 기업, 도검, 재물"
96,"서울, 한국, 스트레스, 유키, 모토"
97,"수출, 미국, 이란, 미사일, 증가"
98,"매출, 시장, 증가, 엠로, 기술"
99,"한국, 데이터, 버거, 햄버거, 출시"
100,"사업, 하이브, 시장, 서비스, 모델"
