Topic,Words
1,"차장, 북한, 통일, 일본, 대통령, 정상, 미국, 캠프, 총리, 독트린"
2,"해리스, 부통령, 주택, 정책, 바이든, 계획, 경제, 혜택, 캠프, 민주당"
3,"차장, 통일, 캠프, 독트린, 선언, 대해, 일본, 구상, 지지, 북한"
4,"북한, 대선, 차장, 남북, 대화, 협상, 통일, 제안, 독트린, 호응"
5,"선수, 파리올림픽, 대통령, 금메달, 야구, 선수단, 격려, 올림픽, 기념, 국민"
6,"후보, 부통령, 대해, 민주당, 정도, 대통령, 부정, 동의, 선택, 반면"
7,"대북, 차장, 위반, 입장, 정부, 항공, 통일, 북한, 자유, 단체"
8,"선수, 대통령, 선수단, 금메달, 올림픽, 축제, 야구, 파리, 파리올림픽, 행사"
9,"대통령, 선수, 파리, 출연, 올림픽, 윤석열, 선수단, 격려, 금메달, 안보"
10,"대통령, 선수, 파리올림픽, 금메달, 야구, 선수단, 올림픽, 등장, 축제, 대통령실"
11,"파리올림픽, 금메달, 축제, 선수, 파리, 올림픽, 재판매, 인사, 기념, 개최"
12,"선수, 대통령, 파리올림픽, 정말, 축제, 파리, 선수단, 격려, 참석, 공원"
13,"선수, 대통령, 선수단, 파리올림픽, 올림픽, 격려, 금메달, 파리, 야구, 기념"
14,"축제, 파리, 올림픽, 재판매, 질문, 기념, 개최, 여의도, 금지, 윤석열"
15,"축제, 파리, 올림픽, 재판매, 기념, 개최, 여의도, 금지, 윤석열, 행사"
16,"축제, 파리, 올림픽, 재판매, 질문, 기념, 개최, 여의도, 금지, 윤석열"
17,"파리, 올림픽, 금메달, 축제, 선수, 재판매, 인사, 기념, 개최, 여의도"
18,"축제, 파리, 올림픽, 재판매, 인사, 기념, 개최, 여의도, 금지, 윤석열"
19,"파리, 올림픽, 축제, 선수, 재판매, 인사, 기념, 개최, 여의도, 금지"
20,"올림픽, 격려, 축제, 선수, 공원, 파리, 기념, 여의도, 윤석열, 행사"
