Topic,Frequency
대통령,1028
대통령,1028
대통령,1028
미국,798
시장,770
대표,701
기업,645
투자,633
투자,633
한국,626
지역,571
의료,544
국민,510
의원,504
스타,410
회장,392
게임,385
게임,385
대출,365
대출,365
상승,356
서비스,314
치료,270
선수,264
농장,254
회사,253
여행,250
기후,249
기후,249
트럼프,242
식품,225
식품,225
폭염,220
도로,213
학교,205
아파트,183
기온,178
제주,176
페이크,172
브랜드,157
연금,157
우주,153
코인,136
업무,128
인텔,127
베트남,125
베트남,125
자유,123
전력,122
교회,119
축제,114
자동차,113
청년,108
임신,105
아이폰,105
여사,105
음악회,102
축구,99
질문,97
청약,94
과장,90
지진,89
상장,89
탈모,85
크론병,83
재정,80
레티놀,79
태풍,79
가자지구,79
오아시스,79
필리핀,77
꽃게,64
박진호,64
아마존,63
이라크,63
성분,58
감염,58
외무,54
골드만삭스,53
미야자키,52
컴퓨터,51
구분,48
정육,45
관세,43
후보자,42
베를린,42
체코,42
오페라,41
흉터,40
승강기,40
낙태,38
미술관,37
정전,35
바오,33
노르웨이,32
시바,32
관문,30
곰팡이,26
어르신,26
벤틀리,21
